date;elev_range;landcover_type;NDVI;year
1/01/2001;0-250;Trees;0.55492548;2001
1/01/2001;250-500;Trees;0.563371728;2001
1/01/2001;500-1000;Trees;0.540525936;2001
1/01/2001;1000-1500;Trees;0.492422406;2001
1/01/2001;1500-2000;Trees;0.398429746;2001
1/01/2001;2000-2500;Trees;0.143399501;2001
1/01/2001;2500-3000;Trees;0.1445;2001
1/01/2001;0-250;Shrubland;0.481468827;2001
1/01/2001;250-500;Shrubland;0.451534299;2001
1/01/2001;500-1000;Shrubland;0.434852454;2001
1/01/2001;1000-1500;Shrubland;0.38307536;2001
1/01/2001;1500-2000;Shrubland;0.344031268;2001
1/01/2001;0-250;Grassland;0.334280746;2001
1/01/2001;250-500;Grassland;0.363528872;2001
1/01/2001;500-1000;Grassland;0.370598549;2001
1/01/2001;1000-1500;Grassland;0.293835562;2001
1/01/2001;1500-2000;Grassland;0.127282525;2001
1/01/2001;2000-2500;Grassland;-0.024017734;2001
1/01/2001;2500-3000;Grassland;-0.021129321;2001
1/01/2001;3000-4000;Grassland;-0.01970447;2001
1/01/2001;0-250;Cropland;0.366059208;2001
1/01/2001;250-500;Cropland;0.320276363;2001
1/01/2001;500-1000;Cropland;0.287531024;2001
1/01/2001;1000-1500;Cropland;0.227746712;2001
1/01/2001;1500-2000;Cropland;0.191884819;2001
1/01/2001;2000-2500;Cropland;0.019981809;2001
1/01/2001;2500-3000;Cropland;-0.0135725;2001
1/01/2001;0-250;Built-up;0.369243552;2001
1/01/2001;250-500;Built-up;0.243328152;2001
1/01/2001;500-1000;Built-up;0.27348539;2001
1/01/2001;1000-1500;Built-up;0.258738756;2001
1/01/2001;1500-2000;Built-up;0.234216015;2001
1/01/2001;2000-2500;Built-up;-0.048366667;2001
1/01/2001;0-250;Bare;0.290006845;2001
1/01/2001;250-500;Bare;0.304043489;2001
1/01/2001;500-1000;Bare;0.34148576;2001
1/01/2001;1000-1500;Bare;0.275069924;2001
1/01/2001;1500-2000;Bare;0.141764096;2001
1/01/2001;2000-2500;Bare;-0.030907311;2001
1/01/2001;2500-3000;Bare;-0.026627326;2001
1/01/2001;3000-4000;Bare;-0.024344186;2001
1/01/2001;0-250;Water;0.364044684;2001
1/01/2001;250-500;Water;0.271485817;2001
1/01/2001;500-1000;Water;0.222874987;2001
1/01/2001;1000-1500;Water;0.176562237;2001
1/01/2001;1500-2000;Water;0.071676968;2001
1/01/2001;2000-2500;Water;-0.01726875;2001
1/01/2001;2500-3000;Water;-0.049885714;2001
1/01/2001;3000-4000;Water;-0.027;2001
1/01/2001;0-250;Wetland;0.340833557;2001
1/01/2001;250-500;Wetland;0.2991125;2001
1/01/2001;500-1000;Wetland;0.252170572;2001
1/01/2001;1000-1500;Wetland;0.270246085;2001
1/01/2001;1500-2000;Wetland;0.015011765;2001
1/01/2001;2000-2500;Wetland;0.0035;2001
17/01/2001;0-250;Trees;0.567429414;2001
17/01/2001;250-500;Trees;0.563755436;2001
17/01/2001;500-1000;Trees;0.523976308;2001
17/01/2001;1000-1500;Trees;0.474234582;2001
17/01/2001;1500-2000;Trees;0.436854233;2001
17/01/2001;2000-2500;Trees;0.216202421;2001
17/01/2001;2500-3000;Trees;0.32975;2001
17/01/2001;0-250;Shrubland;0.492924908;2001
17/01/2001;250-500;Shrubland;0.44810801;2001
17/01/2001;500-1000;Shrubland;0.42295659;2001
17/01/2001;1000-1500;Shrubland;0.368455246;2001
17/01/2001;1500-2000;Shrubland;0.339870409;2001
17/01/2001;0-250;Grassland;0.349870758;2001
17/01/2001;250-500;Grassland;0.3632364;2001
17/01/2001;500-1000;Grassland;0.357973822;2001
17/01/2001;1000-1500;Grassland;0.278713287;2001
17/01/2001;1500-2000;Grassland;0.168623997;2001
17/01/2001;2000-2500;Grassland;-0.007333932;2001
17/01/2001;2500-3000;Grassland;-0.012774524;2001
17/01/2001;3000-4000;Grassland;-0.011535413;2001
17/01/2001;0-250;Cropland;0.437356793;2001
17/01/2001;250-500;Cropland;0.403951919;2001
17/01/2001;500-1000;Cropland;0.292888911;2001
17/01/2001;1000-1500;Cropland;0.219181927;2001
17/01/2001;1500-2000;Cropland;0.202379294;2001
17/01/2001;2000-2500;Cropland;0.023286788;2001
17/01/2001;2500-3000;Cropland;-0.0094625;2001
17/01/2001;0-250;Built-up;0.390665083;2001
17/01/2001;250-500;Built-up;0.24836836;2001
17/01/2001;500-1000;Built-up;0.266400353;2001
